state,participation_act,english_act,math_act,reading_act,science_act,composite_act,year,participation_sat,math_sat,total_sat,ebrw_sat,pop,income,enroll,total_sat_convert,math_sat_convert,eng_read_act,ebrw_sat_convert
National,60.0,20.3,20.7,21.4,21.0,21.0,2017,39.8,556.9,1126.1,569.1,324985539,61372.0,14836089,22,23,41.7,44
Alabama,100.0,18.9,18.4,19.7,19.4,19.2,2017,5.0,572.0,1165.0,593.0,4874486,51113.0,245768,24,24,38.599999999999994,48
Alaska,65.0,18.7,19.8,20.4,19.9,19.8,2017,38.0,533.0,1080.0,547.0,739700,72231.0,17994,21,21,39.099999999999994,42
Arizona,62.0,18.6,19.8,20.1,19.8,19.7,2017,30.0,553.0,1116.0,563.0,7044008,61125.0,429939,22,23,38.7,44
Arkansas,100.0,18.9,19.0,19.7,19.5,19.4,2017,3.0,594.0,1208.0,614.0,3001345,48829.0,124549,25,25,38.599999999999994,51
California,31.0,22.5,22.7,23.1,22.2,22.8,2017,53.0,524.0,1055.0,531.0,39358497,69759.0,1924052,20,20,45.6,40
Colorado,100.0,20.1,20.3,21.2,20.9,20.8,2017,11.0,595.0,1201.0,606.0,5611885,74172.0,262525,25,25,41.3,49
Connecticut,31.0,25.5,24.6,25.6,24.6,25.2,2017,100.0,512.0,1041.0,530.0,3573297,72780.0,154087,20,19,51.1,40
Delaware,18.0,24.1,23.4,24.8,23.6,24.1,2017,100.0,492.0,996.0,503.0,956823,62318.0,46252,19,18,48.900000000000006,37
District Of Columbia,32.0,24.4,23.5,24.9,23.5,24.2,2017,100.0,468.0,950.0,482.0,694906,83382.0,76449,17,17,49.3,34
Florida,73.0,19.0,19.4,21.0,19.4,19.8,2017,83.0,497.0,1017.0,520.0,20963613,53681.0,776324,19,18,40.0,39
Georgia,55.0,21.0,20.9,22.0,21.3,21.4,2017,61.0,515.0,1050.0,535.0,10410330,57016.0,410700,20,19,43.0,40
Hawaii,90.0,17.8,19.2,19.2,19.3,19.0,2017,55.0,541.0,1085.0,544.0,1424393,73575.0,47032,21,22,37.0,42
Idaho,38.0,21.9,21.8,23.0,22.1,22.3,2017,93.0,493.0,1005.0,513.0,1717715,60208.0,87313,19,18,44.9,38
Illinois,93.0,21.0,21.2,21.6,21.3,21.4,2017,9.0,556.0,1115.0,559.0,12778828,64609.0,550591,22,23,42.6,43
Indiana,35.0,22.0,22.4,23.2,22.3,22.6,2017,63.0,532.0,1074.0,542.0,6658078,58873.0,312866,21,21,45.2,42
Iowa,67.0,21.2,21.3,22.6,22.1,21.9,2017,2.0,635.0,1275.0,641.0,3141550,63481.0,192069,27,27,43.8,55
Kansas,73.0,21.1,21.3,22.3,21.7,21.7,2017,4.0,628.0,1260.0,632.0,2908718,57872.0,156566,27,26,43.400000000000006,54
Kentucky,100.0,19.6,19.4,20.5,20.1,20.0,2017,4.0,616.0,1247.0,631.0,4452268,51348.0,193340,26,26,40.1,54
Louisiana,100.0,19.4,18.8,19.8,19.6,19.5,2017,4.0,586.0,1198.0,611.0,4670560,43903.0,190124,24,24,39.2,51
Maine,8.0,24.2,24.0,24.8,23.7,24.3,2017,95.0,499.0,1012.0,513.0,1334612,51664.0,53899,19,18,49.0,38
Maryland,28.0,23.3,23.1,24.2,23.799999999999997,23.6,2017,69.0,524.0,1060.0,536.0,6023868,81084.0,252681,21,20,47.5,40
Massachusetts,29.0,25.4,25.3,25.9,24.7,25.4,2017,76.0,551.0,1107.0,555.0,6859789,73227.0,408076,22,23,51.3,43
Michigan,29.0,24.1,23.7,24.5,23.8,24.1,2017,100.0,495.0,1005.0,509.0,9973114,57700.0,415717,19,18,48.6,37
Minnesota,100.0,20.4,21.5,21.8,21.6,21.5,2017,3.0,651.0,1295.0,644.0,5566230,71920.0,290985,27,27,42.2,55
Mississippi,100.0,18.2,18.1,18.8,18.8,18.6,2017,2.0,607.0,1242.0,634.0,2988510,43441.0,144049,26,25,37.0,54
Missouri,100.0,19.8,19.9,20.8,20.5,20.4,2017,3.0,631.0,1271.0,640.0,6106670,56885.0,290594,27,27,40.6,55
Montana,100.0,19.0,20.2,21.0,20.5,20.3,2017,10.0,591.0,1196.0,605.0,1052482,59087.0,40780,24,25,40.0,49
Nebraska,84.0,20.9,20.9,21.9,21.5,21.4,2017,3.0,625.0,1253.0,629.0,1915947,59619.0,104794,26,26,42.8,52
Nevada,100.0,16.3,18.0,18.1,18.2,17.8,2017,26.0,553.0,1116.0,563.0,2969905,56550.0,84056,22,23,34.400000000000006,44
New Hampshire,18.0,25.4,25.1,26.0,24.9,25.5,2017,96.0,520.0,1052.0,532.0,1348787,74801.0,99269,20,20,51.4,40
New Jersey,34.0,23.8,23.8,24.1,23.2,23.9,2017,70.0,526.0,1056.0,530.0,8885525,72997.0,326710,20,20,47.900000000000006,40
New Mexico,66.0,18.6,19.4,20.4,20.0,19.7,2017,11.0,561.0,1138.0,577.0,2091784,47855.0,86983,23,23,39.0,45
New York,31.0,23.8,24.0,24.6,23.9,24.2,2017,67.0,523.0,1052.0,528.0,19589572,62447.0,1028256,20,20,48.400000000000006,39
North Carolina,100.0,17.8,19.3,19.6,19.3,19.1,2017,49.0,535.0,1081.0,546.0,10268233,50343.0,430566,21,21,37.400000000000006,42
North Dakota,98.0,19.0,20.4,20.5,20.6,20.3,2017,2.0,621.0,1256.0,635.0,754942,59886.0,43372,26,26,39.5,54
Ohio,75.0,21.2,21.6,22.5,22.0,22.0,2017,12.0,570.0,1149.0,578.0,11659650,59768.0,497200,23,24,43.7,45
Oklahoma,100.0,18.5,18.8,20.1,19.6,19.4,2017,7.0,517.0,1047.0,530.0,3931316,55006.0,156264,20,19,38.6,40
Oregon,40.0,21.2,21.5,22.4,21.7,21.8,2017,43.0,548.0,1108.0,560.0,4143625,64610.0,174440,22,22,43.599999999999994,44
Pennsylvania,23.0,23.4,23.4,24.2,23.3,23.7,2017,65.0,531.0,1071.0,540.0,12787641,63173.0,588542,21,21,47.599999999999994,42
Rhode Island,21.0,24.0,23.3,24.7,23.4,24.0,2017,71.0,524.0,1062.0,539.0,1055673,66390.0,69811,21,20,48.7,40
