"Table 307.20. Full-time-equivalent fall enrollment in degree-granting postsecondary institutions, by control and level of institution and
              state or jurisdiction: 2000, 2010, and 2018",,,,,,,,,,,,
State or jurisdiction,Public,,,,,,Private nonprofit 4-year,,Private for-profit,,,
,4-year,,,2-year,,,,,4-year,,2-year,
,2000,2010,2018,2000,2010,2018,2010,2018,2010,2018,2010,2018
1,2,3,4,5,6,7,8,9,10,11,12,13
   United States ,"5,025,588","6,635,799","7,376,852","3,241,344","4,382,957","3,145,485","3,235,149","3,475,852","1,258,291","600,939","408,358","145,872"
Alabama ,"111,322","140,235","150,530","48,545","68,677","50,114","22,982","23,635","23,570","17,779","3,138",106
Alaska ,"16,335","20,618","16,257",473,357,†,529,389,"1,764",†,†,415
Arizona,"87,301","120,269","158,742","85,778","122,717","91,268","7,487","9,955","369,895","148,578","15,622","8,916"
Arkansas ,"57,897","77,384","79,848","21,519","41,223","26,960","14,559","14,253","2,450",152,683,56
California,"476,027","582,256","853,629","707,558","858,417","666,732","245,393","267,906","102,012","112,556","78,898","22,219"
Colorado ,"109,844","134,234","179,803","41,322","59,409","21,499","25,447","25,659","49,704","29,843","11,486","8,351"
Connecticut,"46,826","58,329","58,266","20,934","34,116","26,379","57,013","63,733","3,757","5,900",257,†
Delaware ,"20,427","23,125","35,256","6,939","9,365",†,"10,550","11,067",218,156,†,†
District of Columbia ,"3,364","3,964","3,138",†,†,†,"65,755","68,918","3,789","5,146",†,348
Florida ,"190,472","484,181","551,663","173,433","78,027","14,840","132,201","149,372","100,670","43,881","39,981","16,152"
Georgia,"136,069","224,448","262,897","66,571","118,307","63,023","63,327","68,964","37,344","13,124","9,268","4,690"
Hawaii,"17,015","24,136","22,077","14,996","17,786","13,448","11,244","8,389","1,670",405,"1,459",617
Idaho ,"34,125","40,828","40,464","6,807","9,847","12,781","16,641","30,998","1,951",†,777,408
Illinois,"164,592","178,192","158,832","186,533","228,507","161,773","190,040","183,435","58,243","32,537","9,379","2,913"
Indiana ,"155,982","194,407","186,628","28,131","66,664","37,911","79,106","79,060","18,546",409,"9,168","2,597"
Iowa ,"61,763","64,706","88,545","44,717","71,021","51,719","50,088","44,799","107,172","2,737",533,71
Kansas,"74,307","84,156","83,367","39,457","53,257","46,000","17,882","18,171","1,420","6,175","1,989",810
Kentucky,"86,080","105,252","102,457","32,239","65,402","45,129","31,858","43,682","13,585","5,016","5,478",912
Louisiana,"126,372","124,062","122,367","27,130","52,670","41,944","23,509","23,700","3,939",63,"6,608","3,145"
Maine,"24,678","25,966","24,276","4,797","11,555","9,578","16,928","19,635",†,†,"1,303",184
Maryland ,"94,929","125,536","141,441","57,367","85,789","63,006","42,957","42,920","5,403","1,566","4,143","1,183"
Massachusetts ,"78,452","97,474","103,475","47,972","65,041","47,509","238,759","252,782","4,181","1,164","2,108",86
Michigan,"223,981","257,896","271,417","101,794","155,150","75,667","91,255","57,249","8,772",287,"1,098","1,248"
Minnesota,"95,345","114,954","105,899","65,167","89,858","70,070","62,150","60,384","71,988","51,872","2,200",204
Mississippi,"56,107","67,989","69,801","47,245","70,356","55,421","13,601","13,620",289,211,"2,470",656
Missouri,"99,187","120,933","119,342","46,793","74,399","53,698","113,252","104,775","17,435","2,346","10,713","1,065"
Montana,"28,278","32,375","31,000","3,900","7,715","4,926","4,073","3,585",†,†,†,43
Nebraska ,"44,374","50,013","51,731","20,812","30,680","23,458","27,836","27,841","2,151",68,"1,037",45
Nevada ,"27,631","68,001","76,609","20,468","6,571",†,"3,028","3,818","6,841","1,399","5,151","3,017"
New Hampshire ,"21,064","26,150","24,762","5,442","9,172","6,696","22,449","75,080","3,898",†,†,†
New Jersey,"111,449","144,174","160,821","79,367","125,787","90,190","63,113","64,198","5,993","5,020","1,891","3,897"
New Mexico,"39,779","52,191","44,661","29,541","49,580","34,762","1,012","1,324","6,612",479,"3,316",962
New York ,"269,664","328,542","342,451","168,911","242,030","199,224","440,038","447,005","27,670","23,728","21,686","9,559"
North Carolina,"140,203","193,970","209,298","96,999","158,480","125,157","83,931","88,053","10,987","4,467","2,694","1,742"
North Dakota ,"24,728","35,435","32,429","6,515","4,572","4,616","4,832","5,244","1,154",465,†,†
Ohio,"215,993","292,493","281,145","92,749","131,274","82,668","123,493","116,388","13,682","3,720","29,858","8,674"
Oklahoma ,"79,786","102,471","96,436","34,997","44,842","32,203","20,213","19,927","5,434","1,028","4,539","1,327"
Oregon ,"59,588","82,751","85,506","46,099","69,825","53,754","28,591","30,348","5,530","1,037","3,791",767
Pennsylvania,"211,132","257,017","243,608","58,759","93,216","68,098","248,139","252,409","17,802","2,241","38,769","8,815"
